skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Blessed Hammer	112	pal	blessed hammer		73												blessedhammer																																																												paladin_holybolt_cast															35					blessedhammer												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast			18	20					Holy Bolt								1						1	6	20	1	1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			14	damage synergy	1								8															mag	12	8	10	12	13	14	16	8	10	12	13	14	(skill('Vigor'.blvl)+skill('Blessed Aim'.blvl))*par8								640	16000
Concentration	113	pal	concentration		65																73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	par5																																																																															1	1	6		none														xx																										18	20					Blessed Aim														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	60	% additional damage	15	$ additional damage/level	20	percent chance that attack will not be interrupted	0	?					1								8																																				640	16000
Holy Freeze	114	pal	holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																	coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																										1	8		none														xx																										18	20					Holy Fire														0	8	0	0	1	1	1		50														6	radius	1	additional radius per level	25	min% slowing	60	max% slowing	5	damage to attack multiplier	0	?	7	damage synergy	15	damage synergy	1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5	skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7								640	16000
Vigor	115	pal	vigor		65																73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																													1	1	1		none														xx																										18	20					Cleansing	Defiance													0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	16000
Conversion	116	pal	conversion	32	79																		conversion	ln12																																																								1																													1	0		h2h		mele										A1	A1	xx				1		1	1								1											24	20					Vengeance								1						1	8	4	0	1										dm34	chance to convert							400	duration of conversion (frames)	0	additional frames/level	0	min % chance convert	50	max % chance convert	0	?	0	?					1								8	128																																			768	32000
Holy Shield	117	pal	holy shield	36	18																	holyshield		ln12		toblock	dm56		ln34+skill('Defiance'.blvl)*par8																																																paladin_holyshield																																1	3		none		shld										SC	SC	xx															1											24	20					Charge	Blessed Hammer													1	8	35	0	1	1									ln34+skill('Defiance'.blvl)*par8	ac bonus to shield							750	duration of shield	625	duration/level	25	AC bonus	15	AC bonus per level	10	min % ToBlock Add	40	max % ToBlockAdd			15	armor synergy	1								8		3	2	3	4	4	4	6	2	3	4	4	4																							768	32000
Holy Shock	118	pal	holy shock		66																42883	holyshock			ln12																							lightmindam	1	lightmaxdam	exms*par5/256																																																										1	4		none														xx																										24	20					Holy Freeze														0	8	0	0	1	1	1		50														6	radius	1	additional radius per level					6	damage to attack multiplier	0	?	4	damage synergy	12	damage synergy	1				16385				8															ltng	1						10	6	8	10	12	15	skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7								768	32000
Sanctuary	119	pal	sanctuary		66																59270	sanctuary			ln12	item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																																									cast_undead									sanctuarybolt												1	0		none														xx																	1									24	20					Thorns	Holy Freeze													1	8	1	0	1	1	1		50														5	radius	1	additional radius per level	150	% damage to undead	30	% damage per level	100	att vs. undead	50	att vs. undead per level			7	damage synergy	1				11		157		8															mag	8	4	4	5	5	6	16	4	5	6	6	7	skill('Cleansing'.blvl)*par8								768	32000
Meditation	120	pal	meditation		65																73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																1	7		none														xx																										24	20					Cleansing														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	300	% boost to mana recovery	25	% additional boost/level	0	?	0	?					1								8																																				768	32000
Fist of the Heavens	121	pal	fist of the heavens		80												fistoftheheavensdelay			handofgod	42375				20																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			4						30	20					Blessed Hammer	Conversion						25	1						1	8	25	0	1										ln34	min heal	ln56	max heal			ln12	# bolts	6	holy bolts to release	1	holy bolts per level	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level			7	damage synergy	1								8															ltng	150	15	30	45	55	65	200	15	30	45	55	65	skill('Holy Shock'.blvl)*par8								896	64000
Fanaticism	122	pal	fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2																	damagepercent	ln56																																																											1	1	8		none														S1																										30	20					Concentration														0	8	0	0	1	1	1		50														11	radius	1	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	17	% damage bonus per level					1	40	5						8																																				896	64000
Conviction	123	pal	conviction		66																42371	conviction	conviction		ln12	skill_armor_percent	-dm56	fireresist	"-min(ln34,150)"	coldresist	"-min(ln34,150)"	lightresist	"-min(ln34,150)"																																																																												1	6		none		mele												xx	5		1																							30	20					Sanctuary														0	8	0	0	1	1	1		50														20	radius	0	additional radius per level	30	% resist reduction	5	% resist reduction per level	40	min % AC reduction	100	max % AC reduction					1								8																																				896	64000
Redemption	124	pal	redemption		82																4354	redemption			ln12																																																																								redemption												1	0		none														xx																										30	20					Vigor														0	8	0	0	1	1	1		50						dm34	chance to redeem	ln56	hp gain	ln56	mana gain			16	radius	0	additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	5	HP and mana gained/level					1								8																																				896	64000
Salvation	125	pal	salvation		65																73731	resistall	resistall		ln12	fireresist	dm34	coldresist	dm34	lightresist	dm34																																																																													1	1	8		none														xx																										30	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	50	min % resist	120	max % resist									1								8																																				896	64000
Bash	126	bar	bash	32	2																																																																									barbarian_grunt_small_1	1																														1	7		h2h		mele										A1	A1	xx				1		1	1								1											1	20													1						1	8	2	0	1										ln12+skill('Stun'.blvl)*par8	damage%	ln34	post dmg add		attack rate bonus			50	Damage % base	5	Damage % per level	1	Min Damage	1	Min Damager per level					5	to hit synergy	5	damage synergy	1			15+lvl*5+skill('Concentrate'.blvl)*par7	8		112		8	128																																			256	1000
Sword Mastery	127	bar	sword mastery																																											swordmastery	swor	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Axe Mastery	128	bar	axe mastery																																											axemastery	axe	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Mace Mastery	129	bar	mace mastery																																											macemastery	blun	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Howl	130	bar	howl		22												howl						terror																																																							barbarian_howl_1														25					howl				par1 * (lvl-1)	velocity adder							1	0		none												SC	SC	xx				1													1									1	20																			1	8	4	0	1										par1 * (lvl-1)	velocity adder							2	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat	25	Time per level					1								8																																				256	1000
Find Potion	131	bar	find potion	33	69																																																																							1		barbarian_findobject_1							barbarian_findheart_1						26	38																	1	0		h2h												SC	SC	xx				1				1		4	1															1	20																			1	8	2	0	1										dm12	chance							0	min chance to find heart	100	max chance to find heart	30	Chance of finding a mana potion	10	Chance of finding rejuv									1								8																																				256	3000
Leap	132	bar	leap	40	77												leapknockback								dm12																																																			1		barbarian_leap_1													29	43																	1	0		none												SQ	A1	xx	13		1																							6	20													1						1	8	2	0	1										ln34	knockback radius							4	min distance	30	max distance	4	Knockback range	1	knockback range per level									1								8																																				384	3000
Double Swing	133	bar	double swing		70																																																																											1											27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1											6	20					Bash								1						0	5	8	-1	1										skill('Bash'.blvl)*par8	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus							50	Attack rate bonus					10	damage synergy	1	15	5						8	128																																			384	3000
Pole Arm Mastery	134	bar	pole arm mastery																																											polearmmastery	pole	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						6	20																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro	passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56																																																								1	0		none												SC	SC	xx				1																						6	20																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Spear Mastery	136	bar	spear mastery																																											spearmastery	spea	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						6	20																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Taunt	137	bar	taunt		71																34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																	barbarian_taunt_1																															1	0		none												SC	SC	S1				1				1									1									6	20					Howl														1	8	3	0	1																		-5	% to hit for target	-2	% to hit/level	-5	% damage for target	-2	% damage/level									1								8																																				384	3000
Shout	138	bar	shout		68												shout					shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																			barbarian_shout_1														25					shout												1	8		none												SC	SC	SC				1																						6	20					Howl														1	8	6	0	1																		100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	3000
Stun	139	bar	stun	32	2																																																																									barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	xx				1		1	1								1		1									12	20					Bash								1						1	8	2	0	1										skill('Bash'.blvl)*par8								30	Frames the target is stunned	5	additional frames/level							5	stun synergy	5	to hit synergy	8	damage synergy	1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128														stun														30	5	5	2	skill('War Cry'.blvl)*par6			512	8000
Double Throw	140	bar	double throw		74																																																																																						11	42																	1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1																						12	20					Double Swing								1		6				1	8	1	0	1										skill('Double Swing'.blvl)*par8	damage%							0	?	0	?											8	damage synergy	1	20	10						8	128																																			512	8000
Increased Stamina	141	bar	increased stamina																																											increasedstamina		skill_passive_staminapercent	ln12																																																												1	0		none												SC	SC	xx				1																						12	20																			0	8	0	0	1						1												30	% stamina increase	15	% stamina increase per level													1								8																																				512	8000
Find Item	142	bar	find item	34	72																																																																							1		barbarian_findobject_1			barbarian_findheart_1										28	40																	1	0		h2h												SC	SC	xx				1				1		5	1															12	20					Find Potion														1	8	7	0	1										dm12	chance							5	min chance to find heart	60	max chance to find heart	30	% chance high quality	5	% chance magic item									1								8																																				512	8000
Leap Attack	143	bar	leap attack	41	78															bash																																																								1		barbarian_leapattack_1													30	44																	1	6		none		mele										SQ	A1	xx	14		1			1																				18	20					Leap								1						1	8	9	0	1										ln34+skill('Leap'.blvl)*par8								4	min distance	30	max distance	100	Min % damage bonus	30	% damage bonus	4	Knockback range	2	knockback range per level			10	damage synergy	1	50	15						8	128																																			640	16000
Concentrate	144	bar	concentrate	32	2															doubledamage1		concentrate				skill_armor_percent	ln34																																																			barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	xx				1		1	1								1											18	20					Stun								1						1	8	2	0											ln12+skill('Bash'.blvl)*par8+skill('Battle Orders'.blvl)*par7	damage%		post dmg add		attack rate bonus	skill('Berserk'.blvl)	convert%	70	Damage % base	5	Damage % per level	100	% AC bonus	10	% AC bonus per level					10	damage synergy	5	damage synergy	1	60	10						8	128														mag																					640	16000
Iron Skin	145	bar	iron skin																																											ironskin		skill_armor_percent	ln12																																																												1	0		none												SC	SC	xx				1																						18	20																			0	8	0	0	1						1												30	% AC bonus	10	% AC bonus per level													1								8																																				640	16000
Battle Cry	146	bar	battle cry		68												battlecry				98304		battlecry	ln12		skill_armor_percent	ln34	damagepercent	ln56																																																	barbarian_battlecry_1														25					battlecry												1	9		none												SC	SC	xx				1																						18	20					Taunt														1	8	5	0	1																		300	duration	60	duration/level	-50	% AC bonus	-2	% AC bonus per level	-25	$ damage bonus	-1	% damage bonus per level					1								8																																				640	16000
Frenzy	147	bar	frenzy		9																	frenzy		par7		velocitypercent	dm34	attackrate	dm56																																																			1												39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1											24	20					Double Throw								1						1	7	3	0											ln12+(skill('Double Swing'.blvl) + skill('Taunt'.blvl))*par8	damage%					skill('Berserk'.blvl)	convert%	90	Damage % base	5	Damage % per level	20	min % run speed increase	200	max % run speed increase	0	min % attack speed increase	50	max % attack speed increase	150	duration	8	damage synergy	1	100	7						8	128														mag																					768	32000
Increased Speed	148	bar	increased speed																																											increasedspeed		velocitypercent	dm12																																																												1	0		none												SC	SC	xx				1																						24	20					Increased Stamina														0	8	0	0	1						1												7	min % speed increase	50	max % speed increase													1								8																																				768	32000
Battle Orders	149	bar	battle orders		68												battleorders					battleorders	battleorders	ln12+(skill('Shout'.blvl)+skill('Battle Command'.blvl))*par8		item_maxmana_percent	ln34	item_maxhp_percent	ln34	skill_staminapercent	ln34																																															barbarian_battleorders_1														25					battleorders												1	9		none												SC	SC	xx				1																						24	20					Shout														1	8	7	0	1																		750	duration	250	duration/level	35	Base % increase	3	Increase per level							125	duration synergy	1	50	10						8																																				768	32000
Grim Ward	150	bar	grim ward	33	75												grimwardmediumstart	grimwardsmallstart	grimwardlargestart		2		terror	par6	ln12																																																												barbarian_grimward_1						26	41					grimwardmediumstart	grimwardsmallstart	grimwardlargestart										1	0		h2h												SC	SC	xx				1				1		6	1															24	20					Find Item														1	8	4	0	1										ln34	ward duration							3	radius	1	radius/level	1000	duration	0	duration/level	10	Distance to run	60	Monster scare duration					1								8																																				768	32000
Whirlwind	151	bar	whirlwind	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1											30	20					Leap Attack	Concentrate							1						1	7	25	1											ln12	damage%							-50	Damage percent per attack	8	Damage percent per level	1	Attacks per tick											1		5						8	128																																			896	64000
Berserk	152	bar	berserk	39	2																	berserk		"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"		damageresist	par5	armor_override_percent	-100																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	xx				1		1	1								1											30	20					Concentrate								1						1	8	4	0	1										ln12+(skill('Howl'.blvl) + skill('Shout'.blvl))*par8	damage%	"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"	duration			100	convert%	150	Damage % base	15	Damage % per level	25	min vulnerable duration	75	max vulerable duration	0	damage resist bonus					10	damage synergy	1	100	15						8	128														mag																					896	64000
Natural Resistance	153	bar	natural resistance																																											naturalresistance		fireresist	dm12	lightresist	dm12	coldresist	dm12	poisonresist	dm12																																																						1	0		none												SC	SC	xx				1																						30	20					Iron Skin														0	8	0	0	1						1												0	min % resistance bonus	80	max % resistance bonus													1								8																																				896	64000
War Cry	154	bar	war cry		68												warcry																																																													barbarian_warcry_1										warcry				25					warcry												1	9		none												SC	SC	xx				1																						30	20					Battle Cry	Battle Orders													1	8	10	1	1																		25	stun length	5	stun length per level											6	damage synergy	1								8		20	6	7	8	9	10	30	6	7	8	9	10	(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Battle Cry'.blvl))*par8																						896	64000
Battle Command	155	bar	battle command		68												battlecommand					battlecommand	battlecommand	ln12+(skill('Shout'.blvl)+skill('Battle Orders'.blvl))*par8		item_allskills	1																																																			barbarian_command_1														25					battlecommand												1	9		none												SC	SC	xx				1																						30	20					Battle Orders														1	8	11	0	1																		125	duration	250	duration/level											125	duration synergy	1								8																																				896	64000
Fire Hit	156			42	83																																																																																																								1	0		none												SQ	SQ	xx				1																						1																								1																		1	base damage	5	extra per level	50	duration	50	duration/level									1	20	10						8																																					0
UnHolyBolt	157				85												unholybolt1																																																																															unholybolt1													1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
SkeletonRaise	158																																																																																																												1	0		none												SQ	SQ	xx								1	1		1															1																								1																																		1								8																																					0
MaggotEgg	159			43	84																																																																								sandmaggotegg_hatch_1															46																	1	0		none												SQ	SQ	xx																										1																								1									 	"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# to spawn																							1								8																																					0
ShamanFire	160				85												shafire1																																																																															shafire1													1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottUp	161			44																																																																									sandmaggot_emerge														32						dirt pile	sand pile											1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottDown	162			45	86																																																																								sandmaggot_burrow														33	47																	1	0		none												SQ	SQ	xx																										1																								1										10	heal%																							1								8																																					0
MagottLay	163				87																																																																																																								1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
AndrialSpray	164			46	88												andarielspray																																																																										34	48					andarielspray												1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Jump	165			47	89																																																																																																								1	0		none												SQ	SQ	xx																										1																								1										10	damage%																							1	15	5						8																																					0
Swarm Move	166			48	90																																																																																						35	49																	1	0		none												SQ	SQ	xx																										1																								1										11	do frame	19	stop frame																					1								8																																					0
Nest	167			49	91																																																																																						36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Quick Strike	168			50	92												raven1																																																																																												1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
VampireFireball	169													vampirefireball																																																																																		vampirefireball													1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireFirewall	170				24												vampirefirewallmaker	vampirefirewall																																																																										26					vampirefirewallmaker												1	0		none												SQ	SQ	SC																										1																								1																																		1																																													0
VampireMeteor	171				28												vampiremeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					vampiremeteorcenter												1	0		none												SQ	SQ	SC																										1																								1										ln12								5	radius of explosion	1	radius/level	30	Frames of fire	15	Frames of fire per level									1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5										0
GargoyleTrap	172				93												shafire3																																																																											51					shafire3												1	0		none												SQ	SQ	xx	18																									1																								1																																		1								8																																					0
SpiderLay	173				23																	spiderlay	slowed	300		velocitypercent	-100																																																																																		1	0		none												SQ	SQ	A2																										1																								1																20	frames to apply aura to target	30	Slow Duration/Level	75	Duration/Level													1								8																																					0
VampireHeal	174																																																																																																												1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireRaise	175																																																																																																												1	0		none												SQ	SQ	SC							1	1	1		1															1																								1																																		1								8																																					0
Submerge	176			51	94																																																																																						37	52																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
FetishAura	177				111																				ln12																																																				necromancer_curse_1															53					curseeffectred				3	density							1	0		none												SQ	SQ	SC																										1																								1																		10	Base stat mod	50	Duration/Level	5	Stat Mod/Level	10	Base Range ( + 2/Lvl )									1								8																																					0
FetishInferno	178			53	95												fetishinferno1																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																										1																								1												par1	length of fire	3	density			15	frame length															1								8																																					0
ZakarumHeal	179				96															receiving																																																																receiving				healing																					1	0		none												SQ	SQ	S1																										1																								1										15+5*lvl	min heal%	50	max heal %					15	?	30	?	5	?	0	?									1								8																																					0
Emerge	180			52																																																																																							38																		1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
Resurrect	181				97																																																																								fallenshaman_resurrect_cast											healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																								1																																		1								8																																					0
Bestow	182				96															receiving																																																																																									1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
MissileSkill1	183				110																																																																																							66																	1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
MonTeleport	184				98																																																																								sorceress_teleport											teleport																					1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
PrimeLightning	185													monsterlight																																																															mephisto_lightning_cast																			monsterlight													1	0		none												SQ	SQ	A2																										1																								1																																		1								8																																					0
PrimeBolt	186				17												chargedstrikebolt																																																												mephisto_chargedbolt_cast															23					chargedbolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
PrimeBlaze	187				23												blaze					blaze		dm12																																																					monster_cast_fire																			blaze													1	0		none												SQ	SQ	A1																										1																								1																		0	?	60	duration/level	0	?	0	?									1								8																																					0
PrimeFirewall	188				24												vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26					vampirefirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimeSpike	189													monglacialspike										ln12	ln34																																																				monster_cast_cold																			monglacialspike													1	0		none												SQ	SQ	A1																										1																								1																		4	radius	0	radius per level	25	freeze frames	10	freeze frames per level									1								8																																					0
PrimeIceNova	190				22												frostnova																																																												monster_cast_cold															25					frostnova												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonball	191				8												poisonball																																																												mephisto_orb_cast															17					poisonball												1	0		none												SQ	SQ	A1																										1																								1										3	#missiles	1	activate frame					0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonNova	192				99												primepoisoncloud																																																																											55					primepoisoncloud												1	0		none												SQ	SQ	A1																										1																								1										lvl-1	#subloops	2	skip					0	?	0	?	0	?	0	?									1								8																																					0
DiabLight	193			53	152												diablight																																																												diablo_laser_cast														40	56					diablight				0	interval							1	0		none												SQ	SQ	SC																										1																								1	1											par1	length of fire	2	density			40	frame length	0	?	0	?	0	?									1								8																																					0
DiabCold	194				100																																																																								diablo_cold_cast																																1	0		none												SQ	SQ	S2																										1																								1	1																	0	?	200	Frames	0	?	0	?									1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12		100	50	50	50					0
DiabFire	195				22												diabfire																																																												diablo_fire_cast															25					diabfire												1	0		none												SQ	SQ	S1																										1																								1	1																	0	?	0	?	0	?	0	?									1								8																																					0
FingerMageSpider	196				101												fingermagespider						fingermagecurse	ln12		manarecovery	-par3 * lvl																																																		fingermage_bolt_cast_1															57					fingermagespider												1	0		none												SQ	SQ	S1																										1																								1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8																																					0
DiabWall	197		firestorm		102												diabwallmaker																																																												diablo_fire_cast															58					diabwallmaker												1	0		none												SQ	SQ	S1																	1									1																								1	1									lvl	#missiles							0	?	0	?	0	?	0	?									1								8																																					0
DiabRun	198			54	103																																																																								diablo_run														41	59																	1	0		none												SQ	SQ	xx	22																									1																								1	1									20	velocity							8	stop anim len	14	stop anim frame	5	start frame	13	repeat on frame	16	repeat len	6	repeat back frame					1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																								0
DiabPrison	199				104																																																							boneprison1	none																diablo_boneprison_rise																																1	0		none												SQ	SQ	S3																										1																								1	1																	0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
PoisonBallTrap	200													trap poison ball left																																																																																		trap poison ball left													1	0		none												SC	SC	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	10	10	10	10	10	20	10	10	10	10	10																								0
AndyPoisonBolt	201													andypoisonbolt																																																																																		andypoisonbolt													1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
HireableMissile	202				110																																																																																							66																	1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
DesertTurret	203				105												desertfireball																																																																											60					desertfireball												1	0		none												SQ	SQ	xx	26																									1																								1										3	#missiles							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ArcaneTower	204				106												lightningtowernova																																																												lightningorb_attack_1															61					lightningtowernova												1	0		none												SQ	SQ	xx	27																									1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
