skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
dragon claw	3	2	3	3	0	46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12 + (skill('Claw Mastery'.blvl)) * par8																																					40	Sksyn	Skillname261	2		63	Skillname253	Damplev	par8																											0
charged bolt sentry	1	3	1	1	0	6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3																	10																														1					3	StrSkill72	StrSkill73	ln34 + skill('Shock Field'.blvl)/3		3	ESkillShoots	ESkillTimes	par1 + skill('Lightning Sentry'.blvl)/4							40	Sksyn	Skillname262	2		71	Skillname257	Boltplev3	3		71	Skillname272	Shotplev3	4		63	Skillname252	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8							0
wake of fire sentry	1	3	2	1	0	8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3																	1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname263	2		63	Skillname252	Firedplev	par8		63	Skillname273	Firedplev	par8																						0
weapon block	2	3	2	2	0	26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		dm12																																																																																		0
cloak of shadows	2	3	3	2	0	24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	2	StrSkill25	StrSkill23	"-min(ln56,95)"		2	StrSkill31	StrSkill23	ln78		12	StrSkill20		ln34																	1					19	StrSkill56		dm12																																															0
cobra strike	3	3	2	3	0	50	Skillname266	Skillsd266	Skillld266	Skillan266	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpudmana	2*ln12		2	Eskillpowerup2	Eskillpudmana	ln12		2	Eskillpowerup1	Eskillpudlife	ln12																																																														0
blade fury	1	4	3	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	24																61	StrSkill3	EskillPerBlade	usmc	10	72	WeapDamsk		3	4	9																				5	StrSkill115		par3																																																				0
fade	2	4	1	2	0	30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrSkill85	StrSkill23	dm34																																																																			0
shadow warrior	2	4	2	2	0	38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
claws of thunder	3	4	1	3	0	58	Skillname270	Skillsd270	Skillld270	Skillan270	StrSkill3	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
dragon tail	3	4	3	3	0	48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillfistsoffire1	StrSkill23	ln12																	19	StrSkill18		par3																																																				0
lightning sentry	1	5	1	1	0	12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname272	2		63	Skillname257	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8																	0
inferno sentry	1	5	2	1	0	14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					59	StrSkill5		edns*25/768	edxs*25/768																					3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname273	2		42	Skillname263	Rangplev	0	5	63	Skillname252	Firedplev	par7		63	Skillname263	Firedplev	par8		63	Skillname277	Firedplev	par7												0
mind blast	2	5	3	2	0	34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																3	StrSkill99	StrSkill23	dm56		12	StrSkill48		"min(250,edln)"		9																				1					16	StrSkill20		par3	par3+par4																																														0
blades of ice	3	5	1	3	0	52	Skillname275	Skillsd275	Skillld275	Skillan275	StrSkill3	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1					2	StrSkill22	StrSkill23	toht		12	Eskillbladesofice3	Eskillpowerup3	edln		19	Eskillbladesofice2	Eskillpowerup2	par1		24	Eskillbladesofice1	Eskillpowerup1	par1																											40	Sksyn	Skillname275	2		63	Skillname281	Colddplev	par8																											0
dragon flight	3	5	3	3	0	54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12																																																																								0
death sentry	1	6	1	1	0	16	Skillname277	Skillsd277	Skillld277	Skillan277	StrSkill3	5																1					10					37	StrSkill18		skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)																	3	ESkillShoots	ESkillTimes	par1 + skill('Fire Trauma'.blvl)/3		38	Corexpdam	StrSkill46	skill('mon death sentry'.par1)	skill('mon death sentry'.par2)											40	Sksyn	Skillname277	2		71	Skillname252	Shotplev3	3		63	Skillname272	Ltngdplev	par8																						0
blade shield	1	6	3	1	0	18	Skillname278	Skillsd278	Skillld278	Skillan278	StrSkill3	5																1					12	StrSkill20		ln12		72	WeapDamsk		1	4	9																																																																						0
venom	2	6	1	2	0	28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		ln12		14																																																																											0
shadow master	2	6	2	2	0	32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1					2	StrSkill54	StrSkill23	((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
royal strike	3	6	2	3	0	56	Skillname281	Skillsd281	Skillld281	Skillan281	StrSkill3	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillphoenix3	m3en	m3ex	62	Eskillpowerup2	Eskillphoenix2	m2en	m2ex	38	StrSkill83	StrSkill34	miss('royalstrikemeteorfire'.edns)*75/256	miss('royalstrikemeteorfire'.edxs)*75/256	62	Eskillpowerup1	Eskillphoenix1	m1en	m1ex																					40	Sksyn	Skillname281	2		63	Skillname260	Firedplev	10		63	Skillname260	AFDImm	6		63	Skillname270	Ltngdplev	13		63	Skillname275	Colddplev	10												0
delerium change	0	0	0	0	0	2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
