Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of Fist of the Heavens	100			72		72		pal	30	1	44	charged	121	-20	-1											glov												0	0	0
of Bashing	100	1	1	7		7		bar	1	1	44	charged	126	-60	-10											phlm												0	0	0
of Bashing	100	1	1	14		14		bar	1	1	44	charged	126	-20	-6											mele							staf	wand	orb			0	0	0
of Howling	100			7		7		bar	1	1	44	charged	130	-60	-10											phlm												0	0	0
of Howling	100			14		14		bar	1	1	44	charged	130	-20	-6																							0	0	0
of Potion Finding	100			7		7		bar	1	1	44	charged	131	-60	-10											phlm												0	0	0
of Potion Finding	100			14		14		bar	1	1	44	charged	131	-20	-6																							0	0	0
of Taunting	100			12		12		bar	6	1	44	charged	137	-60	-8											phlm												0	0	0
of Taunting	100			24		24		bar	6	1	44	charged	137	-20	-5																							0	0	0
of Shouting	100			12		12		bar	6	1	44	charged	138	-60	-8											phlm												0	0	0
of Shouting	100			24		24		bar	6	1	44	charged	138	-20	-5																							0	0	0
of Stunning	100	1	1	18		18		bar	12	1	44	charged	139	-60	-7											phlm							staf	wand	orb			0	0	0
of Stunning	100	1	1	36		36		bar	12	1	44	charged	139	-20	-4											mele												0	0	0
of Item Finding	100			18		18		bar	12	1	44	charged	142	-60	-7											phlm												0	0	0
of Item Finding	100			36		36		bar	12	1	44	charged	142	-20	-4																							0	0	0
of Concentration	100	1	1	24		24		bar	18	1	44	charged	144	-60	-6											phlm												0	0	0
of Concentration	100	1	1	48		48		bar	18	1	44	charged	144	-20	-3											mele							staf	wand	orb			0	0	0
of Battle Cry	100			24		24		bar	18	1	44	charged	146	-60	-6											phlm												0	0	0
of Battle Cry	100			48		48		bar	18	1	44	charged	146	-20	-3																							0	0	0
of Battle Orders	100			30		30		bar	24	1	44	charged	149	-60	-5											phlm												0	0	0
of Battle Orders	100			60		60		bar	24	1	44	charged	149	-20	-2																							0	0	0
of Grim Ward	100	1	1	30		30		bar	24	1	44	charged	150	-60	-5											phlm												0	0	0
of Grim Ward	100	1	1	60		60		bar	24	1	44	charged	150	-20	-2											amul												0	0	0
of War Cry	100			36		36		bar	30	1	44	charged	154	-60	-3											phlm												0	0	0
of War Cry	100			72		72		bar	30	1	44	charged	154	-20	-1																							0	0	0
of Battle Command	100			36		36		bar	30	1	44	charged	155	-60	-3											phlm												0	0	0
of Battle Command	100			72		72		bar	30	1	44	charged	155	-20	-1																							0	0	0
of Firestorms	100	1	1	7		7		dru	1	1	44	charged	225	-30	-10											club												0	0	0
of Firestorms	100	1	1	14		14		dru	1	1	44	charged	225	-20	-6											staf												0	0	0
of Molten Boulders	100			12		12		dru	6	1	44	charged	229	-30	-8											club												0	0	0
of Molten Boulders	100			24		24		dru	6	1	44	charged	229	-20	-5											mace												0	0	0
of Eruption	100	1	1	18		18		dru	12	1	44	charged	234	-30	-7											club												0	0	0
of Eruption	100	1	1	36		36		dru	12	1	44	charged	234	-20	-4											staf												0	0	0
of Cyclone Armor	100			18		18		dru	12	1	44	charged	235	-30	-7											club												0	0	0
of Cyclone Armor	100			36		36		dru	12	1	44	charged	235	-20	-4											tors												0	0	0
of Twister	100	1	1	24		24		dru	18	1	44	charged	240	-30	-6											club												0	0	0
of Twister	100	1	1	48		48		dru	18	1	44	charged	240	-20	-3											amul	circ											0	0	0
of Volcano	100	1	1	30		30		dru	24	1	44	charged	244	-30	-6											club												0	0	0
of Volcano	100	1	1	60		60		dru	24	1	44	charged	244	-20	-3											hamm												0	0	0
of Tornado	100	1	1	30		30		dru	24	1	44	charged	245	-30	-5											club												0	0	0
of Tornado	100	1	1	60		60		dru	24	1	44	charged	245	-20	-2											amul	circ											0	0	0
of Armageddon	100			36		36		dru	30	1	44	charged	249	-30	-3											club												0	0	0
of Armageddon	100			72		72		dru	30	1	44	charged	249	-20	-1											staf												0	0	0
of Hurricane	100			36		36		dru	30	1	44	charged	250	-30	-3											club												0	0	0
of Hurricane	100			72		72		dru	30	1	44	charged	250	-20	-1											amul	circ											0	0	0
of Damage Amplification	100	1	1	3						1	44	hit-skill	66	5	1											weap							orb					0	0	0
of the Icicle	100	1	1	37		29				2	10	cold-min		2	3	cold-max		6	10	cold-len		50	50	1	dblu	jewl												0	0	0
of the Glacier	100	1		58		50				2	10	cold-min		4	5	cold-max		11	15	cold-len		50	50	1	dblu	jewl												0	0	0
of Fire	100	1	1	36		28				2	12	fire-min		4	10	fire-max		11	30					1	dred	jewl												0	0	0
of Burning	100	1	1	57		49				2	12	fire-min		11	25	fire-max		31	50					1	dred	jewl												0	0	0
of Lightning	100	1	1	36		28				2	13	ltng-min		1	1	ltng-max		21	60					1	dyel	jewl												0	0	0
of Thunder	100	1	1	57		49				2	13	ltng-min		1	1	ltng-max		61	100					1	dyel	jewl												0	0	0
of Daring	100	1	1	19		14				3	17	dex		4	6											jewl												0	0	0
of Daring	100	1	1	36		28				3	17	dex		7	9											jewl												0	0	0
of Knowledge	100	1	1	24		18				3	23	enr		4	6											jewl												0	0	0
of Knowledge	100	1	1	41		33				3	23	enr		7	9											jewl												0	0	0
of Virility	100	1	1	33		25				4	31	str		5	6											jewl												0	0	0
of Virility	100	1	1	50		42				4	31	str		7	9											jewl												0	0	0
of Readiness	1	1	1	20		15				2	7	swing1		10	10											glov												0	0	0
of Craftsmanship	100	1	1	1		1				4	14	dmg-max		1	1											lcha												0	0	0
of Quality	100	1	1	41		33				4	14	dmg-max		2	2											lcha												0	0	0
of Maiming	100	1		71		63				4	14	dmg-max		3	4											lcha												0	0	0
of Craftsmanship	100	1	1	26		19				4	14	dmg-max		1	1											mcha												0	0	0
of Quality	100	1		56		48				4	14	dmg-max		2	2											mcha												0	0	0
of Craftsmanship	100	1	1	85		77				4	14	dmg-max		1	1											scha												0	0	0
of Blight	100	1	1	1		1				2	16	dmg-pois	75	21	21											lcha												0	0	0
of Venom	100	1	1	6		4				1	16	dmg-pois	100	39	39											lcha												0	0	0
of Pestilence	100	1	1	14		10				1	16	dmg-pois	125	52	52									1	dgrn	lcha												0	0	0
of Anthrax	100	1		21		15				1	16	dmg-pois	150	86	86									1	dgrn	lcha												0	0	0
of Blight	100	1	1	5		3				2	16	dmg-pois	75	21	21											mcha												0	0	0
of Venom	100	1	1	13		9				1	16	dmg-pois	100	39	39											mcha												0	0	0
of Pestilence	100	1	1	23		17				1	16	dmg-pois	125	52	52									1	dgrn	mcha												0	0	0
of Anthrax	100	1		33		25				1	16	dmg-pois	150	86	86									1	dgrn	mcha												0	0	0
of Blight	100	1	1	9		6				2	16	dmg-pois	75	21	21											scha												0	0	0
of Venom	100	1	1	20		15				1	16	dmg-pois	100	39	39											scha												0	0	0
of Pestilence	100	1	1	32		24				1	16	dmg-pois	125	52	52									1	dgrn	scha												0	0	0
of Anthrax	100	1		44		36				1	16	dmg-pois	150	86	86									1	dgrn	scha												0	0	0
of Frost	100	1	1	5		3				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			lcha												0	0	0
of the Icicle	100	1	1	8		6				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			lcha												0	0	0
of the Glacier	100	1	1	15		11				1	10	cold-min		3	3	cold-max		5	7	cold-len		25	25	1	dblu	lcha												0	0	0
of Winter	100	1		23		17				1	10	cold-min		4	6	cold-max		8	11	cold-len		25	25	1	dblu	lcha												0	0	0
of Frost	100	1	1	9		6				2	10	cold-min		1	1	cold-max		2	3	cold-len		25	25			mcha												0	0	0
of the Icicle	100	1	1	15		11				1	10	cold-min		2	2	cold-max		4	5	cold-len		25	25			mcha												0	0	0
of the Glacier	100	1	1	25		18				1	10	cold-min		3	3	cold-max		6	8	cold-len		25	25	1	dblu	mcha												0	0	0
of Winter	100	1		35		27				1	10	cold-min		4	6	cold-max		9	12	cold-len		25	25	1	dblu	mcha												0	0	0
of Frost	100	1	1	14		10				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			scha												0	0	0
of the Icicle	100	1	1	21		15				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			scha												0	0	0
of the Glacier	100	1	1	33		25				1	10	cold-min		3	3	cold-max		5	6	cold-len		25	25	1	dblu	scha												0	0	0
of Winter	100	1		46		38				1	10	cold-min		4	5	cold-max		7	9	cold-len		25	25	1	dblu	scha												0	0	0
of Flame	100	1	1	3		2				2	12	fire-min		1	1	fire-max		2	2							lcha												0	0	0
of Fire	100	1	1	8		6				1	12	fire-min		1	2	fire-max		3	3							lcha												0	0	0
of Burning	100	1	1	14		10				1	12	fire-min		2	3	fire-max		4	7					1	dred	lcha												0	0	0
of Incineration	100	1		22		16				1	12	fire-min		4	7	fire-max		8	14					1	dred	lcha												0	0	0
of Flame	100	1	1	7		5				2	12	fire-min		1	1	fire-max		2	2							mcha												0	0	0
of Fire	100	1	1	14		10				1	12	fire-min		2	2	fire-max		3	5							mcha												0	0	0
of Burning	100	1	1	24		18				1	12	fire-min		3	5	fire-max		6	11					1	dred	mcha												0	0	0
of Incineration	100	1		34		26				1	12	fire-min		6	10	fire-max		12	17					1	dred	mcha												0	0	0
of Flame	100	1	1	11		8				2	12	fire-min		1	1	fire-max		2	2							scha												0	0	0
of Fire	100	1	1	20		15				1	12	fire-min		2	2	fire-max		3	4							scha												0	0	0
of Burning	100	1	1	32		24				1	12	fire-min		3	4	fire-max		5	8					1	dred	scha												0	0	0
of Incineration	100	1		45		37				1	12	fire-min		5	7	fire-max		9	13					1	dred	scha												0	0	0
of Shock	100	1	1	4		3				2	13	ltng-min		1	1	ltng-max		2	3							lcha												0	0	0
of Lightning	100	1	1	7		5				1	13	ltng-min		1	1	ltng-max		4	7							lcha												0	0	0
of Thunder	100	1	1	15		11				1	13	ltng-min		1	1	ltng-max		8	21					1	dyel	lcha												0	0	0
of Storms	100	1		22		16				1	13	ltng-min		1	1	ltng-max		22	33					1	dyel	lcha												0	0	0
of Shock	100	1	1	7		5				2	13	ltng-min		1	1	ltng-max		3	5							mcha												0	0	0
of Lightning	100	1	1	14		10				1	13	ltng-min		1	1	ltng-max		6	13							mcha												0	0	0
of Thunder	100	1	1	24		18				1	13	ltng-min		1	1	ltng-max		14	25					1	dyel	mcha												0	0	0
of Storms	100	1		34		26				1	13	ltng-min		1	1	ltng-max		26	38					1	dyel	mcha												0	0	0
of Shock	100	1	1	12		9				2	13	ltng-min		1	1	ltng-max		3	6							scha												0	0	0
of Lightning	100	1	1	21		15				1	13	ltng-min		1	1	ltng-max		7	10							scha												0	0	0
of Thunder	100	1	1	33		25				1	13	ltng-min		1	1	ltng-max		11	18					1	dyel	scha												0	0	0
of Storms	100	1		45		37				1	13	ltng-min		1	1	ltng-max		19	28					1	dyel	scha												0	0	0
of Dexterity	1	1	1	1	12	1				4	17	dex		1	1											boot	glov											0	0	0
of Dexterity	1	1	1	1	5	1				4	17	dex		1	1											ring												0	0	0
of Strength	1	1	1	1	11	1				4	31	str		1	1											glov												0	0	0
of Strength	1	1	1	1	4	1				4	31	str		1	1											ring												0	0	0
of Thorns	1	1	1	1	13	1				4	6	thorns		1	1											tors	belt	shld										0	0	0
of Frost	1	1	1	1	3	1				4	10	dmg-cold	25	1	1											weap							staf	wand	orb			0	0	0
of Flame	1	1	1	1	3	1				4	12	dmg-fire		1	2											weap							staf	wand	orb			0	0	0
of Blight	1	1	1	1	4	1				4	16	dmg-pois	50	8	8											weap							scep	staf	orb			0	0	0
of Shock	1	1	1	1	3	1				4	13	dmg-ltng		1	3											weap							staf	wand	orb			0	0	0
of Regeneration	1	1	1	1	9	1				3	19	regen		2	2											amul	circ											0	0	0
of Energy	1	1	1	1	4	1				4	23	enr		1	1											amul	orb	circ	wand	staf	helm	ring						0	0	0
of Light	1	1	1	1	5	1				4	25	light		1	1	att		10	10							ring	amul											0	0	0
of the Leech	100	1	1	24		20				2	27	lifesteal		2	3											amul												0	0	0
of the Locust	100	1	1	57		45				2	27	lifesteal		4	5											amul												0	0	0
of the Lamprey	100	1	1	85		73				2	27	lifesteal		6	6									1	cred	amul												0	0	0
of the Bat	1	1	1	25		21				2	28	manasteal		2	3											ring												0	0	0
of the Wraith	1	1	1	58		46				2	28	manasteal		4	5											ring												0	0	0
of the Vampire	100	1	1	86		74				2	28	manasteal		6	6									1	cred	ring												0	0	0
